캐릭터 인게임 레벨,인게임 레벨 별 최대 경험치,필요 더러움
char_ingame_level,char_ingame_exp,
int,int,
1,10,2.0
2,13,3.0
3,17,4.0
4,22,5.0
5,29,6.0
6,38,8.0
7,49,10.0
8,64,13.0
9,83,17.0
10,108,22.0
11,140,28.0
12,182,37.0
13,237,48.0
14,308,62.0
15,400,80.0
16,520,104.0
17,600,120.0
18,600,120.0
19,600,120.0
20,750,150.0
21,750,150.0
22,750,150.0
23,750,150.0
24,750,150.0
25,750,150.0
26,750,150.0
27,750,150.0
28,750,150.0
29,750,150.0
30,750,150.0
31,750,150.0
32,750,150.0
33,750,150.0
34,750,150.0
35,750,150.0
36,750,150.0
37,750,150.0
38,750,150.0
39,750,150.0
40,750,150.0
41,750,150.0
42,750,150.0
43,750,150.0
44,750,150.0
45,750,150.0
46,750,150.0
47,750,150.0
48,750,150.0
49,750,150.0
50,750,150.0
51,750,150.0
52,750,150.0
53,750,150.0
54,750,150.0
55,750,150.0
56,750,150.0
57,750,150.0
58,750,150.0
59,750,150.0
60,750,150.0
61,750,
62,750,
63,750,
64,750,
65,750,
66,750,
67,750,
68,750,
69,750,
70,750,
71,750,
72,750,
73,750,
74,750,
75,750,
76,750,
77,750,
78,750,
79,750,
80,750,
81,750,
82,750,
83,750,
84,750,
85,750,
86,750,
87,750,
88,750,
89,750,
90,750,
91,750,
92,750,
93,750,
94,750,
95,750,
96,750,
97,750,
98,750,
99,750,
100,750,
101,750,
102,750,
103,750,
104,750,
105,750,
106,750,
107,750,
108,750,
109,750,
110,750,
111,750,
112,750,
113,750,
114,750,
115,750,
116,750,
117,750,
118,750,
119,750,
120,750,
121,750,
122,750,
123,750,
124,750,
125,750,
126,750,
127,750,
128,750,
129,750,
130,750,
131,750,
132,750,
133,750,
134,750,
135,750,
136,750,
137,750,
138,750,
139,750,
140,750,
141,750,
142,750,
143,750,
144,750,
145,750,
146,750,
147,750,
148,750,
149,750,
150,750,
151,750,
152,750,
153,750,
154,750,
155,750,
156,750,
157,750,
158,750,
159,750,
160,750,
161,750,
162,750,
163,750,
164,750,
165,750,
166,750,
167,750,
168,750,
169,750,
170,750,
171,750,
172,750,
173,750,
174,750,
175,750,
176,750,
177,750,
178,750,
179,750,
180,750,
181,750,
182,750,
183,750,
184,750,
185,750,
186,750,
187,750,
188,750,
189,750,
190,750,
191,750,
192,750,
193,750,
194,750,
195,750,
196,750,
197,750,
198,750,
199,750,
200,750,
201,750,
202,750,
203,750,
204,750,
205,750,
206,750,
207,750,
208,750,
209,750,
210,750,
211,750,
212,750,
213,750,
214,750,
215,750,
216,750,
217,750,
218,750,
219,750,
220,750,
221,750,
222,750,
223,750,
224,750,
225,750,
226,750,
227,750,
228,750,
229,750,
230,750,
231,750,
232,750,
233,750,
234,750,
235,750,
236,750,
237,750,
238,750,
239,750,
240,750,
241,750,
242,750,
243,750,
244,750,
245,750,
246,750,
247,750,
248,750,
249,750,
250,750,
251,750,
252,750,
253,750,
254,750,
255,750,
256,750,
257,750,
258,750,
259,750,
260,750,
261,750,
262,750,
263,750,
264,750,
265,750,
266,750,
267,750,
268,750,
269,750,
270,750,
271,750,
272,750,
273,750,
274,750,
275,750,
276,750,
277,750,
278,750,
279,750,
280,750,
281,750,
282,750,
283,750,
284,750,
285,750,
286,750,
287,750,
288,750,
289,750,
290,750,
291,750,
292,750,
293,750,
294,750,
295,750,
296,750,
297,750,
298,750,
299,750,
300,750,
301,750,
302,750,
303,750,
304,750,
305,750,
306,750,
307,750,
308,750,
309,750,
310,750,
311,750,
312,750,
313,750,
314,750,
315,750,
316,750,
317,750,
318,750,
319,750,
320,750,
321,750,
322,750,
323,750,
324,750,
325,750,
326,750,
327,750,
328,750,
329,750,
330,750,
331,750,
332,750,
333,750,
334,750,
335,750,
336,750,
337,750,
338,750,
339,750,
340,750,
341,750,
342,750,
343,750,
344,750,
345,750,
346,750,
347,750,
348,750,
349,750,
350,750,
351,750,
352,750,
353,750,
354,750,
355,750,
356,750,
357,750,
358,750,
359,750,
360,750,
361,750,
362,750,
363,750,
364,750,
365,750,
366,750,
367,750,
368,750,
369,750,
370,750,
371,750,
372,750,
373,750,
374,750,
375,750,
376,750,
377,750,
378,750,
379,750,
380,750,
381,750,
382,750,
383,750,
384,750,
385,750,
386,750,
387,750,
388,750,
389,750,
390,750,
391,750,
392,750,
393,750,
394,750,
395,750,
396,750,
397,750,
398,750,
399,750,
400,750,
401,750,
402,750,
403,750,
404,750,
405,750,
406,750,
407,750,
408,750,
409,750,
410,750,
411,750,
412,750,
413,750,
414,750,
415,750,
416,750,
417,750,
418,750,
419,750,
420,750,
421,750,
422,750,
423,750,
424,750,
425,750,
426,750,
427,750,
428,750,
429,750,
430,750,
431,750,
432,750,
433,750,
434,750,
435,750,
436,750,
437,750,
438,750,
439,750,
440,750,
441,750,
442,750,
443,750,
444,750,
445,750,
446,750,
447,750,
448,750,
449,750,
450,750,
451,750,
452,750,
453,750,
454,750,
455,750,
456,750,
457,750,
458,750,
459,750,
460,750,
461,750,
462,750,
463,750,
464,750,
465,750,
466,750,
467,750,
468,750,
469,750,
470,750,
471,750,
472,750,
473,750,
474,750,
475,750,
476,750,
477,750,
478,750,
479,750,
480,750,
481,750,
482,750,
483,750,
484,750,
485,750,
486,750,
487,750,
488,750,
489,750,
490,750,
491,750,
492,750,
493,750,
494,750,
495,750,
496,750,
497,750,
498,750,
499,750,
500,750,
